"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","..","","..","","..","","31.5","","31.4","","31.8","","29.7","","29.6","","..","","..",""
"69"," Albania","12.8","","13.9","","13.8","","13.4","","13.5","","13.5","","12.3","","10.0","","11.0","","10.9",""
"91"," Algeria","..","","..","","..","","..","","..","","..","","..","","20.7","","20.4","","20.3",""
"148"," Angola","39.8","","..","","43.9","","44.0","","37.0","","36.9","","32.4","","32.3","","31.8","","31.7",""
"46"," Argentina","19.7","","19.6","","19.5","","15.8","","15.0","","15.7","","14.5","","14.2","","14.0","","13.7",""
"81"," Armenia","11.0","","10.8","","11.0","","10.4","","10.2","","9.4","","8.7","","10.0","","9.9","","9.9",""
"8"," Australia","8.0","","7.9","","7.9","","7.8","","8.3","","8.3","","8.5","","8.2","","8.2","","8.2",""
"18"," Austria","7.5","","7.4","","6.6","","7.2","","7.8","","8.6","","7.6","","8.1","","7.7","","7.0",""
"88"," Azerbaijan","13.8","","11.4","","11.4","","11.8","","13.1","","13.2","","10.3","","10.1","","9.4","","9.5",""
"58"," Bahamas","14.3","","14.8","","..","","14.3","","..","","..","","..","","..","","..","","..",""
"133"," Bangladesh","29.4","","27.4","","27.5","","29.2","","29.4","","28.9","","28.1","","24.0","","24.2","","24.4",""
"58"," Barbados","..","","..","","..","","..","","..","","..","","..","","16.4","","16.9","","17.0",""
"53"," Belarus","9.3","","8.4","","8.3","","7.6","","7.1","","6.5","","6.5","","6.5","","6.4","","6.3",""
"14"," Belgium","8.5","","7.6","","8.0","","8.5","","7.8","","8.4","","8.9","","8.8","","7.6","","7.7",""
"110"," Belize","28.8","","..","","..","","..","","22.7","","22.7","","22.3","","22.3","","22.5","","22.6",""
"158"," Benin","35.2","","35.8","","35.9","","34.7","","37.4","","37.4","","36.8","","36.6","","37.2","","37.1",""
"129"," Bhutan","..","","..","","19.9","","20.3","","29.9","","29.5","","28.6","","27.2","","27.1","","27.2",""
"107"," Bolivia (Plurinational State of)","38.1","","34.1","","34.2","","29.5","","28.7","","29.1","","26.6","","25.8","","24.1","","24.0",""
"73"," Bosnia and Herzegovina","20.4","","11.7","","11.6","","10.6","","13.3","","13.3","","13.1","","15.6","","14.4","","14.5",""
